Date,Time,CDD 15.5,Chiller 03 2Q3,Chiller 02 2Q9,Chiller 01 2Q10,Chiller CH-WC07301
2024-08-17,01:30:00,0.2,19.3125,0.09375,0.1875,16.4080503857
2024-08-17,01:45:00,0.2,19.8125,0.21875,0.21875,15.9269148763
2024-08-17,02:00:00,0.2,20.5625,0.1875,0.09375,15.3996139619
2024-08-17,02:15:00,0.2,17.75,0.21875,0.1875,14.2127713844
2024-08-17,02:30:00,0.2,20.0625,0.09375,0.125,14.4246548301
2024-08-17,02:45:00,0.2,18.4375,0.1875,0.1875,14.8167971695
2024-08-17,03:00:00,0.2,21.25,0.21875,0.1875,14.8860020074
2024-08-17,03:15:00,0.2,18.75,0.1875,0.125,14.7374267428
2024-08-17,03:30:00,0.2,18.6875,0.09375,0.1875,15.2691014834
2024-08-17,03:45:00,0.2,19.875,0.21875,0.1875,15.2082778921
2024-08-17,04:00:00,0.2,17.4375,0.1875,0.125,14.9382207114
2024-08-17,04:15:00,0.2,19.5625,0.1875,0.1875,15.5762746398
2024-08-17,04:30:00,0.2,19.8125,0.125,0.1875,15.811527919
2024-08-17,04:45:00,0.2,20.0,0.1875,0.125,15.556769003
2024-08-17,05:00:00,0.2,19.1875,0.1875,0.1875,16.0219285763
2024-08-17,05:15:00,0.2,19.4375,0.125,0.09375,16.1306385219
2024-08-17,05:30:00,0.2,20.25,0.1875,0.21875,16.2474857893
2024-08-17,05:45:00,0.2,20.4375,0.1875,0.1875,15.9883088468
2024-08-17,06:00:00,0.2,21.0625,0.21875,0.09375,15.5026200567
2024-08-17,06:15:00,0.2,18.3125,0.09375,0.21875,15.5593870421
2024-08-17,06:30:00,0.2,20.3125,0.1875,0.1875,15.2128100744
2024-08-17,06:45:00,0.2,19.125,0.21875,0.09375,14.6874560922
2024-08-17,07:00:00,0.2,20.375,0.1875,0.21875,13.7269051897
2024-08-17,07:15:00,0.2,18.0,0.09375,0.09375,13.6929190299
2024-08-17,07:30:00,0.2,20.0,0.21875,0.1875,14.804559154
2024-08-17,07:45:00,0.2,20.125,0.1875,0.21875,15.5313596825
2024-08-17,08:00:00,0.2,19.0,0.09375,0.09375,15.4876516338
